No;Reason;Date;Time;RPM;PF;LChr;IL1;IL2;IL3;Mfrq;Vm1;Vm2;Vm3;Vm12;Vm23;Vm31;VBat;OilP;EngT;FLvl;AIN4;BIN;BOUT;Gfrq;Vg1;Vg2;Vg3;Vg12;Vg23;Vg31;Q;Pwr;Mode
-63;Ready;27.06.2002;22:58:25;0;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,7;3,6;49;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-64;Switched On;27.06.2002;22:58:24;System started
-65;Mains Underfrequency;27.06.2002;22:58:11;0;0,00; ;0;0;0;0,0;0;0;0;0;0;0;20,6;3,6;50;53;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-66;SetpointChange;27.06.2002;22:56:58;T=CELL 1 CON(24311)=aus.airgate.link:44445
-67;Fault reset;23.06.2002;08:28:22;0;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,7;3,7;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-68;Wrn MCB Fail;23.06.2002;08:28:12;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,7;3,7;49;52;#####;00000000 00000000;00010000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-69;Ready;23.06.2002;08:28:08;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,7;3,7;49;52;#####;00000000 00000000;00010000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-70;SetpointChange;23.06.2002;08:28:07;T=CELL 1 CON(8315)=1
-71;Fault reset;23.06.2002;08:28:06;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,7;3,7;49;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-72;Terminal;23.06.2002;08:28:06;T=CELL 1 FaultReset command
-73;Wrn MCB Fail;23.06.2002;08:20:49;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,7;49;52;#####;00000000 00000000;00010000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-74;Not Ready;23.06.2002;08:20:43;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,6;49;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-75;Switched On;23.06.2002;08:20:41;Config loaded
-76;Programming Request;23.06.2002;08:17:29;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,7;3,7;49;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-77;Password set;23.06.2002;08:17:29;T=CELL 1 
-78;SetpointChange;23.06.2002;08:17:25;T=CELL 1 CON(8315)=0
-79;Not Ready;23.06.2002;08:17:14;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,7;3,7;49;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-80;Sd Start Fail;23.06.2002;08:17:12;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,7;3,7;49;52;#####;00000000 00000000;11000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-81;Manual Start;23.06.2002;08:16:39;0;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,7;3,7;49;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-82;Ready;23.06.2002;08:16:35;0;0,00; ;0;0;0;50,0;233;0;0;0;0;0;20,7;3,7;49;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-83;SetpointChange;23.06.2002;08:16:34;T=INT CON(8315)=1
-84;Not Ready;23.06.2002;08:16:29;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,7;3,7;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-85;Ready;23.06.2002;08:05:54;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,7;3,7;49;52;#####;00000001 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
